State,Constituency_name,Result,Constituency,seats_won
Bihar,RUPAULI (60),WON,RUPAULI,60
Himachal Pradesh,DEHRA (10),WON,DEHRA,10
Himachal Pradesh,HAMIRPUR (38),WON,HAMIRPUR,38
Himachal Pradesh,NALAGARH (51),WON,NALAGARH,51
Madhya Pradesh,AMARWARA (123),WON,AMARWARA,123
Punjab,JALANDHAR WEST (34),WON,JALANDHAR WEST,34
Tamil Nadu,VIKRAVANDI (75),WON,VIKRAVANDI,75
Uttarakhand,BADRINATH (4),WON,BADRINATH,4
Uttarakhand,MANGLAUR (33),WON,MANGLAUR,33
West Bengal,RAIGANJ (35),WON,RAIGANJ,35
West Bengal,RANAGHAT DAKSHIN (90),WON,RANAGHAT DAKSHIN,90
West Bengal,BAGDA (94),WON,BAGDA,94
West Bengal,MANIKTALA (167),WON,MANIKTALA,167
